YYYY-MM-DD-HH:MM:SS;FT0101[l/m];FT0401[m3/h];PT0101[Bar];PT0102[Bar];PT0201[Bar];PT0202[Bar];PT0301[Bar];PT0302[Bar];PT0303[Bar];CV0201[%];CV0202[%];PT0203[Bar];PT0301[Bar];act_mode3;act_mode1;act_mode4;p;t_w[K];speed[RPM];outlet_pressure[Bar];p_lo_min[W];p_lo_max[W];DBB_ANTI_CYCLING_TRI;DBB_ANTI_CYCLING_TIM;equal_period_count;time_in_stop;last_time_in_stop;speed_avedev;M2_warning_out;M2_alarm_out;M2_reset_out;M2_cntCycles;M2_pumpToff;M2_pumpToffAvg;M2_pumpToffVar;M2_algState;M3_warning_out;M3_alarm_out;M3_reset_out;M3_cumVol;M3_edgeType;M3_edgeDetectionStat;M3_maxVol_warning;M3_maxVol_alarm;M3_Tevent;M2_cumVol;M3_qAvg;pump_output_control_;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_dpd;M2_PlumbingCheck_fla;M2_PlumbingWarning;FT0106;PT0106;FT0103;FT0104;FT0105;PV0106;SC0401;M2_stp_alg
2023-11-01 12:06:18:790;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 29.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 23.30; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:18:910;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 29.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 23.30; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:19:030;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.299; 0.00; 65535.00; 40.00; 5.00; 22.00; 29.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 23.30; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:19:150;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.299; 0.00; 65535.00; 40.00; 5.00; 22.00; 29.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 23.30; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:19:270;0.00; 0.00; 0.000; 4.16; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.299; 0.00; 65535.00; 40.00; 5.00; 22.00; 29.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 23.70; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:19:390;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.299; 0.00; 65535.00; 40.00; 5.00; 22.00; 29.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 23.70; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:19:510;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.57; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 30.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 23.70; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:19:630;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 30.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 23.70; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:19:750;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 30.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 24.20; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:19:870;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 30.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 24.20; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:19:990;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 30.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 24.20; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:20:110;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 30.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 24.20; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:20:230;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.57; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 30.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 24.20; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:20:350;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.57; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 30.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 24.60; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:20:470;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.57; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 30.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 24.60; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:20:590;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.57; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 30.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 24.60; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:20:710;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 31.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 24.60; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:20:830;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 31.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.00; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:20:950;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 31.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.00; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:21:070;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 31.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.00; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:21:190;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 31.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.00; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:21:310;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 31.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.40; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:21:430;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 32.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.40; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:21:550;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 32.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.40; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:21:670;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 32.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.40; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:21:790;0.00; 0.00; 0.000; 4.16; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 32.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.80; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:21:910;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 32.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.80; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:22:030;0.00; 0.00; 0.000; 4.17; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 32.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.80; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
2023-11-01 12:06:22:150;0.00; 0.00; 0.000; 4.16; 4.09; 4.08; 0.00; 0.00; 0.00; 0.00; 0.00; 4.09; 0.00; 16.00; 1.00; 1.00; 0.000; 292.55; 0.00; 4.298; 0.00; 65535.00; 40.00; 5.00; 22.00; 32.00; 41.00; 250.00; 0.00; 0.00; 0.00; 1.00; 25.80; 47.63; 1214.22; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 310.12; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 4.17; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00 
