YYYY-MM-DD-HH:MM:SS;FT0101[l/m];FT0401[m3/h];PT0101[Bar];PT0102[Bar];PT0201[Bar];PT0202[Bar];PT0301[Bar];PT0302[Bar];PT0303[Bar];CV0201[%];CV0202[%];PT0203[Bar];PT0301[Bar];act_mode3;act_mode1;act_mode4;p;t_w[K];speed[RPM];outlet_pressure[Bar];p_lo_min[W];p_lo_max[W];DBB_ANTI_CYCLING_TRI;DBB_ANTI_CYCLING_TIM;equal_period_count;time_in_stop;last_time_in_stop;speed_avedev;M2_warning_out;M2_alarm_out;M2_reset_out;M2_cntCycles;M2_pumpToff;M2_pumpToffAvg;M2_pumpToffVar;M2_algState;M3_warning_out;M3_alarm_out;M3_reset_out;M3_cumVol;M3_edgeType;M3_edgeDetectionStat;M3_maxVol_warning;M3_maxVol_alarm;M3_Tevent;M2_cumVol;M3_qAvg;pump_output_control_;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_cnt;M2_plumbingCheck_dpd;M2_PlumbingCheck_fla;M2_PlumbingWarning;FT0106;PT0106;FT0103;FT0104;FT0105;PV0106;SC0401;M2_stp_alg
2023-11-01 12:37:01:270;0.00; 0.00; 0.000; 3.71; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 57.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 46.60; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:01:390;0.00; 0.00; 0.000; 3.71; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 57.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 46.60; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:01:510;0.00; 0.00; 0.000; 3.72; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 57.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 46.60; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:01:630;0.00; 0.00; 0.000; 3.71; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 57.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 46.60; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:01:750;0.00; 0.00; 0.000; 3.72; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.834; 0.00; 65535.00; 40.00; 5.00; 32.00; 57.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.10; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:01:870;0.00; 0.00; 0.000; 3.72; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.834; 0.00; 65535.00; 40.00; 5.00; 32.00; 57.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.10; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:01:990;0.00; 0.00; 0.000; 3.71; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.834; 0.00; 65535.00; 40.00; 5.00; 32.00; 57.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.10; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:02:110;0.00; 0.00; 0.000; 3.71; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.834; 0.00; 65535.00; 40.00; 5.00; 32.00; 58.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.10; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:02:230;0.00; 0.00; 0.000; 3.72; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.834; 0.00; 65535.00; 40.00; 5.00; 32.00; 58.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.10; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:02:350;0.00; 0.00; 0.000; 3.71; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.834; 0.00; 65535.00; 40.00; 5.00; 32.00; 58.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.50; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:02:470;0.00; 0.00; 0.000; 3.71; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 58.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.50; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:02:590;0.00; 0.00; 0.000; 3.72; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 58.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.50; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:02:710;0.00; 0.00; 0.000; 3.72; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 58.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.50; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:02:830;0.00; 0.00; 0.000; 3.72; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 58.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.90; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:02:950;0.01; 0.00; 0.000; 3.71; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 58.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.90; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:03:070;0.00; 0.00; 0.000; 3.72; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 58.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.90; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:03:190;0.01; 0.00; 0.000; 3.71; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 58.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 47.90; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:03:310;0.00; 0.00; 0.000; 3.71; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.834; 0.00; 65535.00; 40.00; 5.00; 32.00; 59.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 48.30; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:03:430;0.00; 0.00; 0.000; 3.71; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.834; 0.00; 65535.00; 40.00; 5.00; 32.00; 59.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 48.30; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:03:550;0.00; 0.00; 0.000; 3.71; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 59.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 48.30; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:03:670;0.00; 0.00; 0.000; 3.71; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.834; 0.00; 65535.00; 40.00; 5.00; 32.00; 59.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 48.30; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:03:790;0.00; 0.00; 0.000; 3.72; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 59.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 48.70; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:03:910;0.00; 0.00; 0.000; 3.72; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 59.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 48.70; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:04:030;0.00; 0.00; 0.000; 3.71; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 60.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 48.70; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:04:150;0.00; 0.00; 0.000; 3.72; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 60.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 48.70; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:04:270;0.00; 0.00; 0.000; 3.72; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 60.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 49.10; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:04:390;0.00; 0.00; 0.000; 3.72; 3.64; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 60.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 49.10; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:04:510;0.00; 0.00; 0.000; 3.72; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.78; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 60.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 49.10; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 21.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
2023-11-01 12:37:04:630;0.00; 0.00; 0.000; 3.71; 3.65; 3.63; 0.00; 0.00; 0.00; 0.00; 0.00; 3.64; 0.00; 16.00; 1.00; 1.00; 0.000; 292.76; 0.00; 3.832; 0.00; 65535.00; 40.00; 5.00; 32.00; 60.00; 48.00; 250.00; 0.00; 0.00; 0.00; 3.00; 49.10; 39.93; 51.32; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 1.00; 0.00; 0.00; 0.00; 417.88; 0.00; 1.00; 0.00; 0.00; 0.00; -1000000.00; 0.00; 0.00; 0.00; 3.73; 0.00; 333.33; 0.00; 1.00; 1.00; 5.00
